City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Natal,BR,-5.80,-35.21,75.42,83,75,5.75,broken clouds
257,Dharmapuri,IN,12.13,78.17,75.22,77,85,6.71,overcast clouds
258,Finspang,SE,58.71,15.77,68.52,84,56,5.14,broken clouds
259,Gat,IL,31.61,34.76,78.4,85,0,4.52,clear sky
260,Adrar,MR,20.50,-10.07,88.9,26,21,15.23,few clouds
261,Mamallapuram,IN,12.63,80.17,84.25,65,100,10.96,overcast clouds
262,Tadine,NC,-21.55,167.88,71.04,60,98,15.41,overcast clouds
263,Bereda,ES,43.27,-7.54,59.92,99,25,1.48,scattered clouds
264,Sungurlu,TR,40.17,34.37,62.31,75,1,2.68,clear sky
265,Miles City,US,46.41,-105.84,101.37,8,1,8.05,clear sky
266,Mitsamiouli,KM,-11.38,43.28,75.31,67,13,7.14,few clouds
267,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,73.83,88,46,7.78,scattered clouds
268,Caravelas,BR,-17.71,-39.25,68.29,90,5,5.37,clear sky
269,Meise,BE,50.94,4.33,62.51,92,0,1.99,clear sky
270,Talbahat,IN,25.05,78.43,80.08,86,100,15.7,overcast clouds
271,Cape Town,ZA,-33.93,18.42,56.88,79,0,1.99,clear sky
272,Vila Do Maio,CV,15.13,-23.22,75.99,84,58,11.43,broken clouds
273,Bourail,NC,-21.57,165.48,75.27,43,4,5.84,clear sky
274,Oussouye,SN,12.49,-16.55,80.78,82,100,6.15,overcast clouds
275,Buala,SB,-8.15,159.59,80.2,82,96,7.61,light rain
276,Trelew,AR,-43.25,-65.31,41.83,65,66,25.5,broken clouds
277,Kangaba,ML,11.93,-8.42,74.71,86,9,3.47,light rain
278,Aklavik,CA,68.22,-135.01,61.63,85,100,3.18,overcast clouds
279,Akdepe,TM,42.06,59.38,75.29,30,0,7.99,clear sky
280,Paamiut,GL,61.99,-49.67,43.9,96,100,11.3,overcast clouds
281,Dali,CN,25.70,100.18,70.11,77,89,2.42,overcast clouds
282,Hinton,CA,53.40,-117.59,75.24,46,84,2.98,broken clouds
283,Kota Bahru,MY,6.13,102.24,86,78,20,5.01,few clouds
284,Zhangye,CN,38.93,100.45,79.16,26,100,8.59,overcast clouds
285,Asau,RO,46.43,26.40,66.96,80,68,4.68,broken clouds
286,Fonte Boa,BR,-2.50,-66.27,75.65,83,63,3.33,broken clouds
287,Itoman,JP,26.12,127.67,86.02,89,75,12.66,broken clouds
288,Sola,VU,-13.88,167.55,80.53,76,39,15.84,scattered clouds
289,Kajaani,FI,64.23,27.73,53.65,100,0,4.61,clear sky
290,Astana,KZ,51.18,71.45,55.35,62,0,4.47,clear sky
291,Qinhuangdao,CN,39.93,119.59,82.78,73,75,2.86,moderate rain
292,San Patricio,US,28.02,-97.52,86.72,64,4,9.31,clear sky
293,Hun,LY,29.13,15.95,75.02,51,0,8.43,clear sky
294,Bar Harbor,US,44.39,-68.20,67.26,90,1,5.75,clear sky
295,Waipawa,NZ,-41.41,175.52,49.46,89,100,15.05,overcast clouds
296,Monrovia,LR,6.30,-10.80,75.76,87,100,13.24,light rain
297,Husavik,IS,66.04,-17.34,49.91,81,87,2.55,overcast clouds
298,Tasiilaq,GL,65.61,-37.64,46.56,89,27,4.85,scattered clouds
299,Victoria,HK,22.29,114.16,93.33,80,99,1.01,overcast clouds
300,Athabasca,CA,54.72,-113.29,78.62,31,61,7.87,broken clouds
301,Kahului,US,20.89,-156.47,84.22,77,40,26.46,scattered clouds
302,Chuy,UY,-33.70,-53.46,46.33,82,0,8.01,clear sky
303,Maracaibo,VE,10.63,-71.64,79.11,85,100,1.59,overcast clouds
304,Sabancuy,MX,18.97,-91.18,80.47,82,2,7.34,clear sky
305,Miandoab,IR,36.97,46.10,73.47,52,18,3.27,few clouds
306,Warrington,GB,53.39,-2.58,61.86,90,100,8.05,overcast clouds
307,Kangaatsiaq,GL,68.31,-53.46,47.91,93,99,10.96,light rain
308,Ayagoz,KZ,47.97,80.44,67.69,53,2,24.4,clear sky
309,Vredendal,ZA,-31.67,18.50,56.39,47,0,4.81,clear sky
310,Waco,US,31.55,-97.15,92.14,59,1,8.05,clear sky
311,Ambilobe,MG,-13.20,49.05,66.81,71,66,3.49,broken clouds
312,Helena,US,46.59,-112.04,95.99,19,1,1.99,clear sky
313,Fortuna,US,40.60,-124.16,55.98,93,90,12.66,overcast clouds
314,Calama,CL,-22.47,-68.93,45.09,15,0,3.44,clear sky
315,Polyarnyy,RU,69.20,33.45,41.47,86,91,7.07,overcast clouds
316,Nanzhang,CN,31.78,111.84,88.63,61,0,8.93,clear sky
317,Lorengau,PG,-2.02,147.27,84.34,72,83,4.05,broken clouds
318,Nemuro,JP,43.32,145.58,70.23,99,100,12.17,overcast clouds
319,Kobelyaky,UA,49.15,34.20,65.57,62,0,7.45,clear sky
320,Marsa Matruh,EG,31.35,27.25,77.2,78,40,9.22,scattered clouds
321,Constitucion,CL,-35.33,-72.42,44.6,69,0,13.22,clear sky
322,Starkville,US,33.45,-88.82,83.64,89,35,4,scattered clouds
323,Sobolevo,RU,54.43,31.90,61.2,80,19,6.17,few clouds
324,Road Town,VG,18.42,-64.62,81.19,77,55,16.55,broken clouds
325,Shache,CN,38.42,77.24,90.91,23,100,2.77,overcast clouds
326,Novopokrovka,UA,49.84,36.55,64.78,58,1,4.59,clear sky
327,Mangan,IN,27.52,88.53,80.49,87,100,1.36,overcast clouds
328,Gazanjyk,TM,39.24,55.52,83.16,64,5,3.04,clear sky
